date,price_usd,phase,cycle,bull_monthly,bear_drop_total,r_avg_total
2036-10-01,333685.39,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-11-01,350408.32,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-12-01,367969.34,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-01-01,386410.44,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-02-01,405775.73,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-03-01,426111.53,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-04-01,447466.48,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-05-01,469891.65,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-06-01,493440.68,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-07-01,518169.89,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-08-01,544138.42,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-09-01,571408.39,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-10-01,600045.01,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2037-11-01,530877.7,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2037-12-01,469683.32,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-01-01,415542.83,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-02-01,367643.12,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-03-01,325264.82,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-04-01,287771.48,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-05-01,254600.0,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-06-01,225252.21,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-07-01,199287.34,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-08-01,176315.45,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-09-01,155991.53,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-10-01,138010.35,Bear,8,0.046780908667648724,0.77,0.0036782390808770687
2038-11-01,144466.6,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
